SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,CNT_FAM_MEMBERS,HOUR_APPR_PROCESS_START,EXT_SOURCE_2,EXT_SOURCE_3,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,TARGET
304640,130500.0,284400.0,0.032561,-24360,-3388,-9011.0,-4486,1.0,10,0.2821226334198544,0.5352762504724826,0.0,0.0,-1108.0,0.0,0.0,0.0,0.0,0.0,1.0,Cash loans,F,N,N,Unaccompanied,Working,Secondary / secondary special,Widow,Municipal apartment,1,1,0,1,1,0,Sales staff,1,1,FRIDAY,0,0,0,0,0,0,Advertising,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187389,225000.0,450000.0,0.020713,-19237,-11880,-612.0,-2783,1.0,13,0.5411562815779336,0.7076993447402619,0.0,0.0,-1564.0,0.0,0.0,0.0,1.0,0.0,2.0,Revolving loans,F,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,0,0,Laborers,3,2,SATURDAY,0,0,0,0,0,0,Industry: type 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369836,225000.0,381528.0,0.004849,-11513,-2504,-5153.0,-2980,2.0,11,0.0501632541017033,0.5352762504724826,0.0,0.0,-301.0,0.0,0.0,0.0,0.0,0.0,4.0,Cash loans,M,Y,N,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,1,0,0,Laborers,2,2,MONDAY,0,0,0,0,0,0,Self-employed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330971,130500.0,312768.0,0.030755,-21956,0,-9927.0,-4448,2.0,15,0.6237968293837545,0.6363761710860439,2.0,1.0,-644.0,0.0,0.0,0.0,1.0,0.0,5.0,Cash loans,F,N,Y,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,0,0,Laborers,2,2,SATURDAY,0,0,0,0,0,0,XNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180058,180000.0,239418.0,0.031329,-19314,-3166,-5578.0,-2861,1.0,15,0.5874441368624914,0.5638350489514956,0.0,0.0,-2779.0,0.0,0.0,0.0,0.0,0.0,6.0,Cash loans,F,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,0,0,Accountants,2,2,MONDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387878,135000.0,405000.0,0.006233,-16633,-754,-6950.0,-3853,2.0,13,0.6494068136349576,0.5849900404894085,5.0,0.0,-1070.0,0.0,0.0,0.0,0.0,0.0,0.0,Revolving loans,F,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,1,1,0,Laborers,2,2,MONDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338051,292500.0,691020.0,0.04622,-16894,-3926,-10117.0,-452,2.0,13,0.6250583992922663,0.213966852261798,1.0,0.0,-1785.0,0.0,0.0,0.0,0.0,0.0,5.0,Cash loans,F,Y,Y,Family,Commercial associate,Higher education,Married,House / apartment,1,1,0,1,0,0,Laborers,1,1,SATURDAY,0,0,0,0,1,1,Business Entity Type 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330086,157500.0,130824.0,0.01885,-16994,-2555,-1585.0,-550,1.0,10,0.6705180435039156,0.6863823354047934,1.0,0.0,-1029.0,0.0,0.0,0.0,0.0,0.0,4.0,Cash loans,F,N,Y,Unaccompanied,Working,Higher education,Widow,House / apartment,1,1,0,1,0,0,Laborers,2,2,SATURDAY,0,0,0,0,0,0,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226481,180000.0,993082.5,0.04622,-10548,-1112,-4983.0,-2322,2.0,10,0.6696575438898269,0.0867312636469601,1.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,8.0,Cash loans,F,N,N,Unaccompanied,Working,Higher education,Married,House / apartment,1,1,0,1,0,0,Accountants,1,1,WEDNESDAY,0,0,0,0,1,1,Industry: type 11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443336,247500.0,417024.0,0.072508,-21998,-1234,-3777.0,-4760,1.0,11,0.7249732227642984,0.5971924268337128,0.0,0.0,-421.0,0.0,0.0,0.0,0.0,0.0,2.0,Cash loans,F,Y,Y,Unaccompanied,Commercial associate,Higher education,Widow,House / apartment,1,1,0,1,1,0,Laborers,1,1,TUESDAY,0,1,1,0,0,0,Medicine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
